Muestra,weight_mg,N_perc,d15N_permil_air,obs
SF-4B-LONG_P5,25.89,0.32,2.2,NA
SF-5-LONG_P1,26.22,0.13,3.3,NA
SF-5-LONG_P2,25.39,0.2,1.5,NA
SF-5-LONG_P3,24.01,0.16,3.7,NA
SF-5-LONG_P4,25.06,0.22,0.6,NA
SF-5-LONG_P5,25.96,0.22,0.8,NA
SF-5-PAST_P1,25.02,0.28,1.4,NA
SF-5-PAST_P2,23.57,0.22,2.3,NA
SF-5-PAST_P3,25.33,0.15,2.6,NA
SF-5-PAST_P4,26.09,0.16,3.2,NA
SF-5-PAST_P5,24.59,0.34,3.1,NA
SF-6-PAST_P1,24.3,0.35,3,NA
SF-6-PAST_P2,24.42,0.23,2.9,NA
SF-6-PAST_P3,23.63,0.23,2.8,NA
SF-6-PAST_P4,25.95,0.3,2.4,NA
SF-6-PAST_P5,26.35,0.2,2.9,NA
SF-7-LONG_P1,24.6,0.21,2.5,NA
SF-7-LONG_P2,24.5,0.08,2.4,NA
SF-7-LONG_P3,26.41,0.09,1.8,NA
SF-7-LONG_P4,25.4,0.19,2.9,NA
SF-7-LONG_P5,23.71,0.12,3.8,NA
SF-7-PAST_P1,26.1,0.25,3.6,NA
SF-7-PAST_P2,26.01,0.19,3,NA
SF-7-PAST_P3,25.58,0.44,1,NA
SF-7-PAST_P4,23.41,0.2,1.9,NA
SF-7-PAST_P5,24.47,0.15,2.4,NA
SF-8-LONG_P1,24.02,0.2,1.7,NA
SF-8-LONG_P2,25.89,0.24,1.8,NA
SF-8-LONG_P3,24,0.08,2.8,soil particles in well
SF-8-LONG_P4,23.96,0.06,3.3,NA
SF-8-LONG_P5,24.56,0.1,2.7,NA
SF-9-PAST_P1,24.08,0.26,2.8,NA
SF-9-PAST_P2,25.2,0.39,2.4,NA
SF-9-PAST_P3,24.3,0.38,2.2,NA
SF-9-PAST_P4,25.71,0.28,2.6,NA
SF-9-PAST_P5,23,0.17,1.6,NA
