Muestra,plot,site,code,type,sampling_point,weight_mg,N_perc,d15N_permil_air,obs,,,,,,,,,SET_18_LONG_first_reading,SET_18_LONG_first_reading,SET_18_LONG_first_reading,SET_18_LONG_first_reading,SET_18_LONG_second_reading,SET_18_LONG_second_reading,SET_18_LONG_second_reading,SET_18_LONG_second_reading,SET_18_LONG_average,SET_18_LONG_average,SET_18_LONG_average,SET_18_LONG_average
SET-16-LONG_P4,SET_16_LONG,SET,16,LONG,P4,24.01,0.26,-0.4,NA,,,,,,,,,,,,,,,,,,,,
SET-16-LONG_P5,SET_16_LONG,SET,16,LONG,P5,24.04,0.16,1.9,soil particles in well,,,,,,,,,,,,,,,,,,,,
SET-18-LONG_P1,SET_18_LONG,SET,18,LONG,P1,25.69,0.26,-0.2,soil particles in well,0.33931165,-0.8062145,,,,,,,,,,,,,,,,,,
SET-18-LONG_P1,SET_18_LONG,SET,18,LONG,P1,25.24,0.4186233,-1.412429,repeated measurement,,,,,,,,,,,,,,,,,,,,
SET-18-LONG_P2,SET_18_LONG,SET,18,LONG,P2,23.52,0.5117349,-3.5144885,repeated measurement,0.5117349,-3.5144885,,,,,,,,,,,,,,,,,,
SET-18-LONG_P2,SET_18_LONG,SET,18,LONG,P2,24.21,,,sample lost during analysis,,,,,,,,,,,,,,,,,,,,
SET-18-LONG_P3,SET_18_LONG,SET,18,LONG,P3,25.71,0.7159942,-3.9829767,repeated measurement,0.5779971,-3.64148835,,,,,,,,,,,,,,,,,,
SET-18-LONG_P3,SET_18_LONG,SET,18,LONG,P3,24.29,0.44,-3.3,NA,,,,,,,,,,,,,,,,,,,,
SET-18-LONG_P4,SET_18_LONG,SET,18,LONG,P4,26.24,0.3294862,-1.5208564,repeated measurement,0.3597431,-1.7104282,,,,,,,,,,,,,,,,,,
SET-18-LONG_P4,SET_18_LONG,SET,18,LONG,P4,26.42,0.39,-1.9,soil particles in well,,,,,,,,,,,,,,,,,,,,
SET-18-LONG_P5,SET_18_LONG,SET,18,LONG,P5,24.51,0.6011786,-1.3970855,repeated measurement,0.5205893,-1.09854275,,,,,,,,,,,,,,,,,,
